variation_id,gene,vital_band,vital_score,expanded_instability,review_only_probability,review_only_rank,tension_only_probability,tension_only_rank,review_plus_tension_probability,review_plus_tension_rank
441070,THG1L,red_reclassification_priority,90.22538543937368,True,0.584016661894569,47,0.4433043399667483,24,0.6552141681813152,60
3303,LIPH,red_reclassification_priority,87.34567115538377,True,0.6871905993916201,1,0.3722046244268217,317,0.701337765054419,29
1029334,DPYS,red_reclassification_priority,84.87987803649594,True,0.584016661894569,47,0.44030726549288796,92,0.6074222006233081,103
636023,EYS,red_reclassification_priority,82.46840313675412,True,0.584016661894569,47,0.305292289202467,359,0.5642325581143707,133
1705136,MANBA,red_reclassification_priority,81.28387723816664,True,0.584016661894569,47,0.4387338345619313,141,0.6552141681813152,60
970097,DNAH5,red_reclassification_priority,81.07083693910656,False,0.584016661894569,47,0.44091768722868746,81,0.6552141681813152,60
1360900,DPYS,red_reclassification_priority,81.04861279157089,True,0.584016661894569,47,0.44234040889298404,47,0.6074222006233081,103
988803,SLC38A8,red_reclassification_priority,79.11694427249816,True,0.6871905993916201,1,0.4395271875092939,130,0.7627636879351812,3
433531,XRCC1,red_reclassification_priority,76.90883322234902,True,0.6871905993916201,1,0.43979399781527284,118,0.7627636879351812,3
812096,CFAP91,red_reclassification_priority,76.48804740907264,True,0.6871905993916201,1,0.4335361499350452,210,0.7627636879351812,3
998160,DMD,red_reclassification_priority,75.66125776413585,False,0.6871905993916201,1,0.3687959614443335,325,0.8131066788246906,2
1488673,VPS13B,red_reclassification_priority,73.6066028671974,True,0.584016661894569,47,0.43570596029153996,184,0.6467231099151634,83
218160,IFNAR2,red_reclassification_priority,70.01093563378913,True,0.6871905993916201,1,0.3674337098381162,330,0.701337765054419,29
9099,ABCC8,orange_high_tension,86.72676170442226,True,0.20809723298705735,200,0.44152056896485137,69,0.30472134104733484,210
99135,ABCA4,orange_high_tension,86.3183275086954,True,0.20809723298705735,200,0.44227935455561995,56,0.2764883656850784,221
3862,ATP7B,orange_high_tension,85.45557130559811,False,0.20809723298705735,200,0.43836055413705505,147,0.32241504724204634,204
1244229,NR5A1,orange_high_tension,84.95144942821322,True,0.20809723298705735,200,0.44281487990073565,26,0.22513062627676128,247
15161,HBB,orange_high_tension,84.82700945598599,False,0.20809723298705735,200,0.4381313758184493,149,0.30472134104733484,210
377402,ABCA4,orange_high_tension,84.72140140741314,False,0.20809723298705735,200,0.4394289867720227,131,0.2764883656850784,221
38414,GNPTAB,orange_high_tension,84.64645390517319,False,0.20809723298705735,200,0.37404710432167654,295,0.15613628320930126,324
431964,LAMA2,orange_high_tension,83.17554253833481,False,0.20809723298705735,200,0.44336621489020545,21,0.2551038304932837,232
30626,UROS,orange_high_tension,82.45458589745552,True,0.6871905993916201,1,0.4427360216303268,41,0.7576347135848774,15
283573,ABCA4,orange_high_tension,81.78179326878927,False,0.20809723298705735,200,0.372396288590932,305,0.21820405790139316,272
42071,BLM,orange_high_tension,80.3174385840577,False,0.20809723298705735,200,0.3746397317662935,293,0.22410458973484848,265
17617,CAPN3,orange_high_tension,79.62760231251343,False,0.20809723298705735,200,0.44135435026184244,72,0.2833936673384004,219
4260,CYP27A1,orange_high_tension,76.65850194671783,False,0.20809723298705735,200,0.4406064691208261,89,0.20212807419546316,277
433415,ABCC6,orange_high_tension,75.23781828689188,False,0.6871905993916201,1,0.4398831814349525,101,0.7594422125604346,14
576,PAH,orange_high_tension,75.16210731168302,False,0.11836206805482251,353,0.42983418430166087,262,0.12536544006544695,350
1331033,HBA1,orange_high_tension,74.98674245838266,False,0.20809723298705735,200,0.37831383029128224,279,0.14037651516879587,342
203835,MMACHC,orange_high_tension,74.47935665280023,False,0.20809723298705735,200,0.3735413988422062,298,0.1473198768919561,335
189149,ATP7B,orange_high_tension,72.81208697929178,False,0.20809723298705735,200,0.4396218141767931,129,0.32241504724204634,204
372775,NPC1,orange_high_tension,71.60057157223785,False,0.20809723298705735,200,0.436766354019417,165,0.2674447984052358,227
460754,BARD1,orange_high_tension,70.17050418936859,True,0.584016661894569,47,0.3063116706938935,356,0.5598956262546402,134
